station_id,station_name,utm_north,utm_east,year,TOC_mgpl,NO3_NO2_ugpl
27022,Eikelitjørna,6504258.995437052,-2220.9910290592816,1998,0.64,133.0
27022,Eikelitjørna,6504258.995437052,-2220.9910290592816,1999,0.73,125.0
27022,Eikelitjørna,6504258.995437052,-2220.9910290592816,2000,0.72,118.0
27022,Eikelitjørna,6504258.995437052,-2220.9910290592816,2001,0.87,155.0
27022,Eikelitjørna,6504258.995437052,-2220.9910290592816,2002,0.63,165.0
27022,Eikelitjørna,6504258.995437052,-2220.9910290592816,2003,0.7,155.0
27022,Eikelitjørna,6504258.995437052,-2220.9910290592816,2016,1.1,130.0
27022,Eikelitjørna,6504258.995437052,-2220.9910290592816,2019,1.6,105.0
27023,Rennebergstjørni,6768226.994633061,22916.01099015912,1995,0.2,76.0
27023,Rennebergstjørni,6768226.994633061,22916.01099015912,1996,0.58,45.0
27023,Rennebergstjørni,6768226.994633061,22916.01099015912,1997,0.42,42.0
27023,Rennebergstjørni,6768226.994633061,22916.01099015912,1998,0.66,12.0
27023,Rennebergstjørni,6768226.994633061,22916.01099015912,1999,0.66,62.0
27023,Rennebergstjørni,6768226.994633061,22916.01099015912,2002,1.9,1.0
27023,Rennebergstjørni,6768226.994633061,22916.01099015912,2003,0.91,1.0
27023,Rennebergstjørni,6768226.994633061,22916.01099015912,2016,0.59,2.0
27023,Rennebergstjørni,6768226.994633061,22916.01099015912,2019,0.87,3.0
27024,HOH 1110,6798852.994032564,12600.014118084218,1995,0.2,70.0
27024,HOH 1110,6798852.994032564,12600.014118084218,1996,0.2,98.0
27024,HOH 1110,6798852.994032564,12600.014118084218,1997,0.24,87.0
27024,HOH 1110,6798852.994032564,12600.014118084218,1998,0.28,73.0
27024,HOH 1110,6798852.994032564,12600.014118084218,1999,0.2,80.0
27024,HOH 1110,6798852.994032564,12600.014118084218,2000,0.22,50.0
27024,HOH 1110,6798852.994032564,12600.014118084218,2002,0.38,78.0
27024,HOH 1110,6798852.994032564,12600.014118084218,2003,0.23,84.0
27024,HOH 1110,6798852.994032564,12600.014118084218,2016,0.26,24.0
