cell_id,NO3_NO2_ugpl_orig,TOC_mgpl_orig,NO3_NO2_ugpl_1990,NO3_NO2_ugpl_1991,NO3_NO2_ugpl_1992,NO3_NO2_ugpl_1993,NO3_NO2_ugpl_1994,NO3_NO2_ugpl_1995,NO3_NO2_ugpl_1996,NO3_NO2_ugpl_1997,NO3_NO2_ugpl_1998,NO3_NO2_ugpl_1999,NO3_NO2_ugpl_2000,NO3_NO2_ugpl_2001,NO3_NO2_ugpl_2002,NO3_NO2_ugpl_2003,NO3_NO2_ugpl_2004,NO3_NO2_ugpl_2005,NO3_NO2_ugpl_2006,NO3_NO2_ugpl_2007,NO3_NO2_ugpl_2008,NO3_NO2_ugpl_2009,NO3_NO2_ugpl_2010,NO3_NO2_ugpl_2011,NO3_NO2_ugpl_2012,NO3_NO2_ugpl_2013,NO3_NO2_ugpl_2014,NO3_NO2_ugpl_2015,NO3_NO2_ugpl_2016,NO3_NO2_ugpl_2017,NO3_NO2_ugpl_2018,TOC_mgpl_2019,NO3_NO2_ugpl_2019,NO3_NO2_ugpl_2020,NO3_NO2_ugpl_2021,runoff_mmpyr,Bare_area_km2,Forest_area_km2,Lake_area_km2,Other_area_km2,Peat_area_km2,Total_area_km2
58006011,260.0,3.3,238.07756696428572,239.36422561813185,237.98006095467034,234.9959220467033,231.84885817307693,229.83492874313185,229.1232400412088,226.45653760302199,221.99832589285714,216.71653932005495,209.57254464285714,200.24755322802199,188.88888650412088,176.63250128777472,164.52242874313185,153.3326644059066,144.2796188186813,138.3448446085165,134.86570655906593,133.15264423076923,132.6800523695055,132.4978751717033,132.33173076923077,131.93326107486263,130.83695698832418,129.04790521978023,127.01283482142857,125.07715916895604,123.38713727678571,3.9599374624399037,121.52786959134616,119.65627146291209,118.5144767342033,1532.841796875,0.0,59.714897695948196,2.5923133582665407,28.184390625232325,1.9106845014108762,92.40228618085793
58006012,200.0,2.0,328.4376287774725,330.21263307005495,328.3031207074176,324.18638392857144,319.84486607142856,317.0665779532967,316.08477850274727,312.4059495192308,306.2556662087912,298.9692221840659,289.1138178228022,276.2496136675824,260.5798634958791,243.6716818337912,226.96533739697801,211.5285885989011,199.0395776098901,190.85229223901098,186.0527129120879,183.689453125,183.03749570741758,182.78616500686815,182.5569840315934,182.0072759271978,180.49487036401098,178.02681790865384,175.21937242445054,172.5489998282967,170.21753734546704,4.978779551747081,167.6526120364011,165.0706773695055,163.49551425137363,1795.0334176300578,0.0,121.50400963078648,8.425005635299724,41.665324958397555,6.207326035724467,177.8016662602082
58006015,290.0,1.3,344.3050560141509,346.1658313679245,344.1640625,339.84846698113205,335.29716981132077,332.3846550707547,331.35546875,327.4988944575472,321.0514445754717,313.41303066037733,303.0814416273585,289.59575840212267,273.16896373820754,255.44393057193398,237.93046137971697,221.74797317216982,208.6555498231132,200.07274469339623,195.0412551591981,192.56384507665095,191.88038030660377,191.61689268867926,191.37665831367926,190.80037588443398,189.21491745283018,186.62763487617926,183.68455188679246,180.88517099056602,178.44107458726415,3.9698232974646226,175.7522295106132,173.04554834905662,171.3942917158019,958.1259191176471,0.0,18.890377555401184,3.014328698124586,29.33427184420606,1.9971228624355228,53.236100960167356
58006016,360.0,2.0,481.99207589285714,484.5969308035714,481.7946986607143,475.75323660714287,469.38191964285716,465.30474330357146,463.86389508928573,458.4650948660714,449.43936941964284,438.7463169642857,424.283203125,405.40460379464287,382.4087611607143,357.5954799107143,333.07843191964287,310.4245814732143,292.09654017857144,280.0814732142857,273.037890625,269.5697544642857,268.61300223214283,268.2441685267857,267.90784040178573,267.1011160714286,264.881640625,261.25968191964284,257.1396484375,253.22081473214286,249.79933035714285,4.858295985630581,246.03523995535716,242.24614955357143,239.9345703125,1198.9932468220338,0.0,49.68013356684869,2.3885259265513406,21.069281892593605,0.8601625504329226,73.99810393642655
58007001,152.0,2.5,80.7558212652439,81.19225419207316,80.72275152439025,79.71052782012195,78.64304020579269,77.9599180640244,77.71852134146341,76.81397675304878,75.30174352134146,73.51016577743903,71.08692835365854,67.92389481707318,64.07103658536586,59.913681402439025,55.80594512195122,52.01038014481707,48.939596036585364,46.92651962652439,45.74639386432927,45.165329649390245,45.005020960365854,44.943225990853655,44.88687118902439,44.75171493902439,44.3798447027439,43.77300400152439,43.08270769817073,42.42612423780488,41.85286775914634,6.7122385908917686,41.222208460365856,40.587361852134144,40.20006669207317,1818.4576219512196,0.0,137.9920316886363,20.230871537178032,27.220515548457385,17.869210600597466,203.31262937486918
58007002,122.0,4.2,82.57052416871922,83.0167603140394,82.53670528017241,81.50173183497537,80.4102620843596,79.71179860683498,79.46496401631774,78.5400919796798,76.9938856604064,75.16204202586206,72.68435383312809,69.45024341902709,65.51080472598522,61.260025400246306,57.0599792179803,53.179129464285715,50.03933189655172,47.98102197506157,46.77438038793103,46.1802551570197,46.016346597906406,45.95316348522167,45.89554148706897,45.75734586668719,45.37712630849754,44.75664351139162,44.05083897783251,43.37949796028325,42.79336322352217,7.331123840632697,42.14852890240148,41.499422721674875,41.103419411945815,1402.9228756157636,0.0,167.60038775436183,10.370389003273209,12.444261824407908,12.897590792405794,203.31262937444873
58007003,90.0,4.5,79.01097675398285,79.43797870710785,78.97862094056373,77.98826688878677,76.94384765625,76.27548636642157,76.03929227941177,75.154296875,73.67474245557598,71.921875,69.55099666819854,66.45630361519608,62.686695772058826,58.619159773284316,54.600179036458336,50.88662300857843,47.882180606617645,45.91260244332108,44.75798004748774,44.189462699142155,44.03262388939951,43.97216318167892,43.917030484068626,43.78478764552696,43.42095588235294,42.82722503063726,42.151845894607845,41.50944489123774,40.94857728247549,7.998586018880208,40.33154296875,39.71041570925245,39.33148552389706,1257.6374080882354,0.0,167.04535969547857,9.434020871737557,7.5577361475729585,19.275512654364505,203.31262936915357
58007004,80.0,5.4,83.12163254310344,83.57084167179804,83.08759236453201,82.04571082204434,80.94694812192118,80.24381831126847,79.99534328817734,79.0642991841133,77.50777401477832,75.6637065116995,73.16947929495073,69.91378348214286,65.94804976139163,61.6688923953202,57.44082416102217,53.534064231834975,50.37331627155172,48.301271936576356,47.08657250615764,46.48847848676108,46.32347790948276,46.25987145935961,46.201869419642854,46.06274534328818,45.67998576046798,45.055370612684726,44.34485645012315,43.66902709359606,43.07898129618226,8.843504656711822,42.42984625153941,41.77640567272167,41.377761314655174,1203.8640701970444,0.0,168.24909506238507,13.185265340058635,5.107373196247928,16.770895776549736,203.31262937524136
58007005,120.0,2.8,137.66568538647343,138.40967504528984,137.6093089522947,135.88375603864733,134.06400022644928,132.8994659571256,132.48794157608697,130.9459541062802,128.3680366847826,125.31391530797102,121.18298044987922,115.79091183574879,109.22288269927536,102.1357563405797,95.13324652777777,88.66289251207729,83.42808348429952,79.99635794082126,77.98457786080918,76.99401796497584,76.72075030193237,76.61540421195652,76.51934254227054,76.28893040458937,75.6550045289855,74.62050875603865,73.44375566123189,72.32445935235508,71.34722693991546,6.253031707616244,70.27213069897343,69.18990602355072,68.5296695727657,1934.5899758454107,0.0,154.95793019979348,11.845529252859892,25.58539215020569,11.639999432636142,204.0288510354952
58007006,70.0,3.7,122.7109375,123.3741096047794,122.66068282781863,121.12257774203431,119.50049785539215,118.4624885110294,118.09565525428921,116.72118183210785,114.42330154718137,111.70094209558823,108.01875574448529,103.21243106617646,97.35790058210785,91.0406613817402,84.79883769914215,79.0313601026348,74.36520565257354,71.30627680759804,69.51303998161765,68.63008865655637,68.38650333180146,68.29260493259804,68.20697380514706,68.00158930759804,67.43652822457108,66.51441865808823,65.46549479166667,64.46778779871323,63.59671319699755,7.079629935470282,62.638403799019606,61.67373717064951,61.085229013480394,1664.5799632352941,0.0,162.96629349457686,11.16498835606426,14.554405346444357,15.343163838410575,204.02885103549607
